id,key,value,type
65300091,crossing,traffic_signals,regular
65300091,crossing,traffic_signals,regular
65300379,sound,yes,traffic_signals
65300379,sound,yes,traffic_signals
65300495,sound,yes,traffic_signals
65300495,sound,yes,traffic_signals
65300633,sound,yes,traffic_signals
65300633,sound,yes,traffic_signals
65301316,highway,traffic_signals,regular
65301549,highway,traffic_signals,regular
65303525,highway,traffic_signals,regular
65303550,turn_restrictions,no,regular
65303550,turn_restrictions,no,regular
65303550,turn_restrictions,no,regular
65303568,highway,traffic_signals,regular
65303704,highway,traffic_signals,regular
65304253,highway,traffic_signals,regular
65304994,highway,traffic_signals,regular
65305827,highway,traffic_signals,regular
65306116,highway,traffic_signals,regular
65306143,highway,stop,regular
65306190,highway,crossing,regular
65306190,highway,crossing,regular
65306797,sound,yes,traffic_signals
65306797,sound,yes,traffic_signals
65306797,sound,yes,traffic_signals
65306847,highway,traffic_signals,regular
65307349,highway,traffic_signals,regular
65307376,highway,traffic_signals,regular
65307768,highway,traffic_signals,regular
65308304,highway,traffic_signals,regular
65308506,highway,stop,regular
65308740,highway,traffic_signals,regular
65310249,highway,stop,regular
65310403,highway,traffic_signals,regular
65310795,turn_restrictions,no,regular
65310824,turn_restrictions,no,regular
65310824,turn_restrictions,no,regular
65311036,highway,traffic_signals,regular
65312693,turn_restrictions,no,regular
65312693,turn_restrictions,no,regular
65312822,traffic_signals,signal,regular
65312822,traffic_signals,signal,regular
65312931,traffic_signals,signal,regular
65312931,traffic_signals,signal,regular
65313150,highway,turning_circle,regular
65314163,turn_restrictions,no,regular
65314163,turn_restrictions,no,regular
65314192,highway,traffic_signals,regular
65314348,highway,traffic_signals,regular
65314554,highway,traffic_signals,regular
65315446,highway,traffic_signals,regular
65315446,highway,traffic_signals,regular
65315481,highway,traffic_signals,regular
65316006,highway,traffic_signals,regular
65316090,highway,traffic_signals,regular
65317042,sound,yes,traffic_signals
65317042,sound,yes,traffic_signals
65317042,sound,yes,traffic_signals
65317347,highway,stop,regular
65317378,highway,stop,regular
65317599,source,data.sfgov.org,regular
65317599,source,data.sfgov.org,regular
65317752,highway,traffic_signals,regular
65317954,highway,traffic_signals,regular
65318628,highway,traffic_signals,regular
65318699,highway,traffic_signals,regular
65319660,highway,traffic_signals,regular
65319946,highway,traffic_signals,regular
65319973,highway,traffic_signals,regular
65320970,barrier,bollard,regular
65321117,highway,crossing,regular
65322390,highway,turning_circle,regular
65322435,highway,stop,regular
65322991,crossing,uncontrolled,regular
65322991,crossing,uncontrolled,regular
65325371,highway,traffic_signals,regular
65325778,highway,traffic_signals,regular
65325778,highway,traffic_signals,regular
65326465,highway,traffic_signals,regular
65326722,highway,traffic_signals,regular
65327183,turn_restrictions,no,regular
65327305,highway,turning_circle,regular
65327350,highway,turning_circle,regular
65327388,highway,stop,regular
65327516,highway,traffic_signals,regular
65328349,highway,stop,regular
65328382,highway,traffic_signals,regular
