id,lat,lon,user,uid,version,changeset,timestamp
53057370,37.6809436,-122.0356394,DanHomerick,160138,4,11391179,2012-04-23T05:09:01Z
53058764,37.6222445,-122.0383442,oldtopos,169004,7,21255334,2014-03-22T23:50:30Z
53058881,37.6318899,-122.0803898,StellanL,28775,4,3159438,2009-11-19T12:28:02Z
53059481,37.738865,-122.1506078,woodpeck_fixbot,147510,3,2498408,2009-09-16T05:22:29Z
53059540,37.5534605,-122.0417403,StellanL,28775,5,24027093,2014-07-08T14:44:51Z
53059855,37.8057943,-122.2970636,dchiles,153669,12,30792701,2015-05-04T21:49:21Z
53060286,37.5905381,-122.0536446,woodpeck_fixbot,147510,5,2498408,2009-09-16T05:22:46Z
53060342,37.6545079,-122.0383626,ryandrake,1214881,4,15522382,2013-03-28T02:37:41Z
53060533,37.59347,-122.0438267,Luis36995,1829683,11,36725875,2016-01-21T18:33:13Z
53061124,37.8123647,-122.2851354,oba510,933797,9,44536824,2016-12-20T09:34:15Z
53062005,37.6730319,-122.140657,StellanL,28775,4,18894823,2013-11-14T14:40:55Z
53063572,37.8621791,-122.2935225,oba510,933797,9,39705943,2016-06-01T09:02:04Z
53063874,37.7551777,-122.1988246,Telecas,202256,10,49255682,2017-06-05T03:27:48Z
53063890,37.7646866,-122.1840796,oba510,933797,6,47349977,2017-04-01T09:55:12Z
53064620,37.7631774,-122.1595025,David Muir Sharnoff,22946,5,4233682,2010-03-25T22:10:26Z
53064701,37.5872408,-122.0337186,StellanL,28775,5,32126257,2015-06-21T21:44:44Z
53064862,37.8804679,-122.295878,nereocystis,1835512,13,32873488,2015-07-25T15:32:16Z
53065175,37.7216243,-122.0609121,andrewpmk,1679,4,4655980,2010-05-10T05:24:14Z
53065211,37.6929315,-122.1376981,ediyes,1240849,5,30414544,2015-04-22T20:10:28Z
53065284,37.7158097,-122.0764059,RichRico,2219338,4,49572591,2017-06-15T19:35:27Z
53065641,37.6585316,-122.0817792,StellanL,28775,3,3139258,2009-11-17T10:28:45Z
53065735,37.5581491,-122.0206906,StellanL,28775,4,24027093,2014-07-08T14:44:53Z
